Celebrity,Celebrity_HomeState,Celebrity_HomeCountry,Celebrity_Region,Celebrity_Population,Population_Scope,Population_Source,Ballroom_Partner,Partner_Twitter,Partner_Followers,Followers_Source
Wayne Brady,Georgia,United States,Georgia,11029227,US_State,Census 2023 PEP - Georgia,Witney Carson,WitneyCarson,520000,Twitter
Wayne Newton,Virginia,United States,Virginia,8683619,US_State,Census 2023 PEP - Virginia,Cheryl Burke,CherylBurke,450000,Twitter
Wendy Williams,New Jersey,United States,New Jersey,9290841,US_State,Census 2023 PEP - New Jersey,Tony Dovolani,TonyDovolani,180000,Twitter
Whitney Leavitt,Utah,United States,Utah,3417734,US_State,Census 2023 PEP - Utah,Mark Ballas,MarkBallas,650000,Twitter
Willa Ford,Florida,United States,Florida,22610726,US_State,Census 2023 PEP - Florida,Maksim Chmerkoskiy,MaksimC,520000,Twitter
William Levy,,Cuba,"Cojímar, Havana",2106146,Cuba_Region,"Havana province population, ONEI 2022",Cheryl Burke,CherylBurke,450000,Twitter
Willow Shields,New Mexico,United States,New Mexico,2114371,US_State,Census 2023 PEP - New Mexico,Mark Ballas,MarkBallas,650000,Twitter
Wynonna Judd,Kentucky,United States,Kentucky,4526154,US_State,Census 2023 PEP - Kentucky,Tony Dovolani,TonyDovolani,180000,Twitter
Xochitl Gomez,California,United States,California,38965193,US_State,Census 2023 PEP - California,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Zendaya,California,United States,California,38965193,US_State,Census 2023 PEP - California,Valentin Chmerkovskiy,ValChmerkoskiy,850000,Twitter
